Feature,Importance
PW,0.1813723281601528
LCL_T,0.11408553571995281
KI,0.08393799695095731
LFC_V,0.06240001336211574
TT,0.04871615795933454
MML_PT,0.04730433109777621
MML_MR,0.04508907712585383
CAPE_V,0.03769507064480588
CT,0.03126042767601757
LFC,0.02384156464269054
THETAE_LCL,0.02247996075424199
THK_1000_500,0.019589165900982673
VT,0.019283818895423813
EL,0.016874055183868707
LI,0.016301312776961976
CIN_V,0.014650948680709935
BRN_V,0.014604762177566993
CIN,0.013364220737486294
LCL_P,0.013328074642344414
CAPE,0.005424466246208485
SWEAT,0.004826409809131393
LI_V,0.0
SI,0.0
BRN,0.0
EL_V,0.0
